"Sample","Depth","Group"
"HC1255",10000,"HC"
"HC1256",10000,"HC"
"HC1257",10000,"HC"
"HC1258",10000,"HC"
"HC1259",10000,"HC"
"HC1260",10000,"HC"
"HC1261",10000,"HC"
"HC1262",10000,"HC"
"HC1263",10000,"HC"
"HC1264",10000,"HC"
"HC1265",10000,"HC"
"HC1266",10000,"HC"
"HC1267",10000,"HC"
"HC1268",10000,"HC"
"HC1269",10000,"HC"
"HC1270",10000,"HC"
"HC1271",10000,"HC"
"HC1272",10000,"HC"
"HC1273",10000,"HC"
"HC1274",10000,"HC"
"HC1275",10000,"HC"
"HC1276",10000,"HC"
"HC1277",10000,"HC"
"HC1278",10000,"HC"
"HC1279",10000,"HC"
"HC1280",10000,"HC"
"HC1281",10000,"HC"
"HC1282",10000,"HC"
"HC1283",10000,"HC"
"HC1284",10000,"HC"
"HC1285",10000,"HC"
"HC1286",10000,"HC"
"HC1287",10000,"HC"
"HC1288",10000,"HC"
"HC1289",10000,"HC"
"HC1290",10000,"HC"
"HC1291",10000,"HC"
"HC1292",10000,"HC"
"HC1293",10000,"HC"
"HC1294",10000,"HC"
"HC1295",10000,"HC"
"HC1296",10000,"HC"
"HC1297",10000,"HC"
"HC1298",10000,"HC"
"HC1299",10000,"HC"
"HC1300",10000,"HC"
"HC1301",10000,"HC"
"HC1302",10000,"HC"
"HC1303",10000,"HC"
"HC1304",10000,"HC"
"HC1306",10000,"HC"
"HC1307",10000,"HC"
"HC1308",10000,"HC"
"HC1309",10000,"HC"
"HC1310",10000,"HC"
"HC1311",10000,"HC"
"HC1312",10000,"HC"
"HC1313",10000,"HC"
"HC1314",10000,"HC"
"HC1315",10000,"HC"
"HC1316",10000,"HC"
"HC1317",10000,"HC"
"HC1318",10000,"HC"
"HC1319",10000,"HC"
"HC1320",10000,"HC"
"HC1322",10000,"HC"
"HC1324",10000,"HC"
"HC1325",10000,"HC"
"HC1326",10000,"HC"
"HC1327",10000,"HC"
"HC1328",10000,"HC"
"HC1329",10000,"HC"
"HC1330",10000,"HC"
"HC1331",10000,"HC"
"HC1332",10000,"HC"
"HC1333",10000,"HC"
"HC1334",10000,"HC"
"HC1335",10000,"HC"
"HC1336",10000,"HC"
"HC1337",10000,"HC"
"HC1338",10000,"HC"
"HC1339",10000,"HC"
"HC1340",10000,"HC"
"HC1341",10000,"HC"
"HC1342",10000,"HC"
"HC1343",10000,"HC"
"HC1344",10000,"HC"
"HC1345",10000,"HC"
"HC1346",10000,"HC"
"HC1347",10000,"HC"
"HC1348",10000,"HC"
"HC1349",10000,"HC"
"HC1350",10000,"HC"
"HC1351",10000,"HC"
"HC1352",10000,"HC"
"HC1353",10000,"HC"
"HC1354",10000,"HC"
"HC1355",10000,"HC"
"HC1356",10000,"HC"
"HC1357",10000,"HC"
"HC1358",10000,"HC"
"HC1359",10000,"HC"
"HC1360",10000,"HC"
"HC1361",10000,"HC"
"HC1362",10000,"HC"
"HC1363",10000,"HC"
"HC1364",10000,"HC"
"HC1365",10000,"HC"
"HC1366",10000,"HC"
"HC1367",10000,"HC"
"HC1368",10000,"HC"
"HC1369",10000,"HC"
"HC1370",10000,"HC"
"HC1371",10000,"HC"
"HC1372",10000,"HC"
"HC1373",10000,"HC"
"HC1374",10000,"HC"
"HC1375",10000,"HC"
"HC1376",10000,"HC"
"HC1377",10000,"HC"
"HC1378",10000,"HC"
"HC1379",10000,"HC"
"HC1380",10000,"HC"
"HC1381",10000,"HC"
"HC1382",10000,"HC"
"HC1383",10000,"HC"
"HC1384",10000,"HC"
"HC1385",10000,"HC"
"HC1386",10000,"HC"
"HC1387",10000,"HC"
"HC1388",10000,"HC"
"HC1389",10000,"HC"
"HC1390",10000,"HC"
"HC1391",10000,"HC"
"HC1392",10000,"HC"
"HC1393",10000,"HC"
"HC1394",10000,"HC"
"HC1395",10000,"HC"
"HC1396",10000,"HC"
"HC1397",10000,"HC"
"HC1398",10000,"HC"
"HC1399",10000,"HC"
"HC1400",10000,"HC"
"HC1401",10000,"HC"
"HC1402",10000,"HC"
"HC1403",10000,"HC"
"HC1404",10000,"HC"
"HC1405",10000,"HC"
"HC1406",10000,"HC"
"HC1407",10000,"HC"
"HC1408",10000,"HC"
"HC1409",10000,"HC"
"HC1410",10000,"HC"
"HC1412",10000,"HC"
"HC1413",10000,"HC"
"HC1414",10000,"HC"
"HC1415",10000,"HC"
"HC1416",10000,"HC"
"HC1417",10000,"HC"
"HC1418",10000,"HC"
"HC1419",10000,"HC"
"HC1420",10000,"HC"
"HC1421",10000,"HC"
"HC1422",10000,"HC"
"HC1423",10000,"HC"
"HC1424",10000,"HC"
"HC1425",10000,"HC"
"HC1426",10000,"HC"
"HC1427",10000,"HC"
"HC1428",10000,"HC"
"HC1429",10000,"HC"
"HC1430",10000,"HC"
"HC1431",10000,"HC"
"HC1432",10000,"HC"
"HC1433",10000,"HC"
"HC1434",10000,"HC"
"HC1435",10000,"HC"
"HC1436",10000,"HC"
"HC1437",10000,"HC"
"HC1438",10000,"HC"
"HC1439",10000,"HC"
"HC1440",10000,"HC"
"HC1441",10000,"HC"
"HC1442",10000,"HC"
"HC1443",10000,"HC"
"HC1444",10000,"HC"
"HC1445",10000,"HC"
"HC1446",10000,"HC"
"HC1447",10000,"HC"
"HC1448",10000,"HC"
"HC1449",10000,"HC"
"HC1450",10000,"HC"
"HC1451",10000,"HC"
"HC1452",10000,"HC"
"HC1453",10000,"HC"
"HC1454",10000,"HC"
"HC1455",10000,"HC"
"HC1456",10000,"HC"
"HC1457",10000,"HC"
"HC1458",10000,"HC"
"HC1459",10000,"HC"
"HC1460",10000,"HC"
"HC1461",10000,"HC"
"HC1462",10000,"HC"
"HC1463",10000,"HC"
"HC1464",10000,"HC"
"HC1465",10000,"HC"
"HC1466",10000,"HC"
"HC1467",10000,"HC"
"HC1468",10000,"HC"
"HC1469",10000,"HC"
"HC1470",10000,"HC"
"HC1471",10000,"HC"
"HC1472",10000,"HC"
"HC1473",10000,"HC"
"HC1474",10000,"HC"
"HC1475",10000,"HC"
"HC1476",10000,"HC"
