"Genus","Base mean","Log2 fold change","Standard error","Wald statistic","Raw P value","Adjusted P value (FDR)","Direction","Mean abundance (HC)","Mean abundance (RA)","Prevalence (%) HC","Prevalence (%) RA"
"Coriobacteriaceae_UCG-002",0.685858782114055,-3.0389452229386,2.93741569510035,-1.03456423549707,0.300872463624284,0.659540409219396,"Higher in HC",1.36842105263158,0,10.5263157894737,0
"Merdibacter",0.746083589260955,-3.15369609951498,2.93611178963149,-1.07410627573918,0.282775052131988,0.659540409219396,"Higher in HC",1.47368421052632,0,15.7894736842105,0
"TM7x",0.917056880033421,2.87421424641227,2.93479777995604,0.979356828617786,0.327403700312484,0.701579357812465,"Higher in RA",0.947368421052632,2.95,5.26315789473684,10
"Dubosiella",0.565088162574021,-2.77775684082009,2.94047810346551,-0.944661630891369,0.344831651574991,0.725961371736824,"Higher in HC",19.3684210526316,0,21.0526315789474,0
"Lachnoclostridium",600.795510861545,-1.34920860721968,1.49697699094224,-0.901288807632543,0.367434783104375,0.73486956620875,"Higher in HC",468.421052631579,187,63.1578947368421,45
"Megamonas",0.793222175176611,2.66240446326329,2.93657059388049,0.90663730979649,0.364598624943813,0.73486956620875,"Higher in RA",714.368421052632,2.35,5.26315789473684,10
"Paraprevotella",0.786975061650564,2.67785939510768,2.93644648312012,0.911938770381516,0.361800950715468,0.73486956620875,"Higher in RA",5.36842105263158,15.4,5.26315789473684,15
"[Eubacterium]_ventriosum_group",80.9240901807463,-1.51833304646684,1.75028374716219,-0.867478229703371,0.38568003498522,0.758714822921744,"Higher in HC",66.5263157894737,20.75,57.8947368421053,25
"Lachnospiraceae_UCG-004",153.331594541281,-1.61504933049675,1.93919777386283,-0.832844051424218,0.40493268692579,0.771300356049125,"Higher in HC",108.105263157895,38.9,42.1052631578947,30
"UBA1819",12.8359875640329,-2.23834266172654,2.68053573958782,-0.83503555974625,0.403697687104933,0.771300356049125,"Higher in HC",14.3157894736842,1.45,31.5789473684211,5
"Unknown",1137.48266718852,-0.75065831844697,0.945541886917629,-0.793892189053666,0.427258197293362,0.797076479347687,"Higher in HC",1199.42105263158,467.85,100,70
"Flavonifractor",28.4441093724691,-1.54957793886176,1.97138131060001,-0.786036638640001,0.431846022653796,0.797076479347687,"Higher in HC",20.6842105263158,8.35,42.1052631578947,25
"UCG-005",141.701110422983,-1.34256287944278,1.86500127308237,-0.71987236621231,0.471603583614048,0.797076479347687,"Higher in HC",139.052631578947,47.35,36.8421052631579,40
"Holdemanella",0.815660377346454,2.22108420493267,2.94041616874704,0.755363893227098,0.45003067152559,0.797076479347687,"Higher in RA",0,7,0,10
"Parasutterella",0.541068522250369,2.1635789735675,2.94090558270243,0.735684608949384,0.461922658360852,0.797076479347687,"Higher in RA",15.3157894736842,2,15.7894736842105,10
"Rikenellaceae_RC9_gut_group",0.314311084318738,-2.12986566693303,2.9479485811623,-0.722490779026167,0.469992792525144,0.797076479347687,"Higher in HC",42.3157894736842,0,15.7894736842105,0
"Erysipelatoclostridium",0.316550207129564,-2.12562149081369,2.94798989047833,-0.721040970214722,0.470884307816067,0.797076479347687,"Higher in HC",0.631578947368421,0,10.5263157894737,0
"Catenococcus",0.316550207129564,-2.12562149081369,2.94798989047833,-0.721040970214722,0.470884307816067,0.797076479347687,"Higher in HC",0.631578947368421,0,10.5263157894737,0
"Marvinbryantia",2.13912615074571,-2.04349812983577,2.9154918180233,-0.700910260561548,0.483359020712594,0.798152988007445,"Higher in HC",6.31578947368421,8.25,15.7894736842105,15
"Muribaculum",0.289958529209177,-2.05645375515108,2.94867980049252,-0.697415078710001,0.485543067704529,0.798152988007445,"Higher in HC",7.84210526315789,0,10.5263157894737,0
"Parabacteroides",38.9714207048071,1.3935221843414,2.10598791031336,0.661695244078609,0.508166553305683,0.824053870225432,"Higher in RA",41.8421052631579,118.55,15.7894736842105,40
"Dorea",328.151217931009,0.978490404188981,1.56743038820277,0.624264025728714,0.532454205224612,0.838804879580495,"Higher in RA",135.526315789474,279.2,57.8947368421053,45
"Butyricicoccus",203.866024284707,-0.884568083153978,1.46225669105237,-0.604933517190721,0.545223171727322,0.838804879580495,"Higher in HC",158.210526315789,85.25,63.1578947368421,45
"Lachnospiraceae_NK4A136_group",394.122614938632,-0.983394311033252,1.60833484347612,-0.611436303218942,0.540910775152402,0.838804879580495,"Higher in HC",369.315789473684,132.7,57.8947368421053,40
"Rikenella",0.220920784159373,-1.81948876381371,2.95061340273456,-0.616647630668069,0.537467170503329,0.838804879580495,"Higher in HC",8.63157894736842,0,10.5263157894737,0
"Aquamonas",0.379947405562746,1.71721288711884,2.94517259066842,0.583060188920577,0.559852782686725,0.85040929015705,"Higher in RA",0.631578947368421,1.7,5.26315789473684,10
"[Ruminococcus]_gnavus_group",8.13469277751934,1.59305909586059,2.89505641107457,0.550268758068615,0.582135049346132,0.865332939494013,"Higher in RA",32.9473684210526,35.45,21.0526315789474,20
"Alistipes",44.7784933275481,1.26727934971407,2.34926663961499,0.539436149283489,0.589585943369823,0.865332939494013,"Higher in RA",57,160.85,15.7894736842105,30
"Butyricimonas",0.321681214694134,1.58187828867067,2.94611295430019,0.536937419986473,0.591310841987575,0.865332939494013,"Higher in RA",7.84210526315789,11.15,10.5263157894737,15
"[Eubacterium]_xylanophilum_group",6.75804973332508,1.4669143344468,2.89633598742396,0.506472433038229,0.612525037170081,0.87503576738583,"Higher in RA",18.1578947368421,16.25,21.0526315789474,15
"Oscillibacter",39.8242314594807,-0.980185325585509,1.89680626925606,-0.516755633652531,0.6053267544215,0.87503576738583,"Higher in HC",27.6842105263158,15.85,47.3684210526316,25
"Intestinibacter",104.389471384369,0.85826895964775,1.86496047854485,0.460207585909499,0.645367226480613,0.909722930258623,"Higher in RA",65.5263157894737,85.95,36.8421052631579,40
"Negativibacillus",2.3727496553273,-1.31223200991434,2.90941335904259,-0.451029760290288,0.65196810001868,0.909722930258623,"Higher in HC",18.9473684210526,9.05,21.0526315789474,15
"Blautia",807.606606776295,-0.599824553441848,1.50278828708636,-0.399141088998506,0.689789247937345,0.933656187967265,"Higher in HC",606.315789473684,364.2,63.1578947368421,45
"CAG-56",46.448317884722,0.666479295331527,1.83061711237013,0.364073563405417,0.71580307744157,0.933656187967265,"Higher in RA",39.1052631578947,55.7,36.8421052631579,40
"Coprococcus",362.685702798103,0.627496516754851,1.67720234987165,0.374132862861104,0.708305470162375,0.933656187967265,"Higher in RA",219.157894736842,231,52.6315789473684,40
"Monoglobus",104.954052575785,-0.598790685695482,1.57173817375441,-0.380973558888088,0.703222868611774,0.933656187967265,"Higher in HC",80.7894736842105,47.85,52.6315789473684,45
"Family_XIII_AD3011_group",16.6314218615721,-0.952120588037965,2.42166976349979,-0.393166980233491,0.694196155938863,0.933656187967265,"Higher in HC",19.3157894736842,7.3,26.3157894736842,20
"Paludicola",1.30222465593555,-1.15462886909567,2.92309171813117,-0.395002613819407,0.692840958960193,0.933656187967265,"Higher in HC",3.26315789473684,0.5,10.5263157894737,5
